age_group,gender,employment_status,income_bracket_aed,fitness_goal,workouts_per_week,diet_style,allergy_flags,orders_per_week,avg_spend_aed,preferred_meal_time,subscribe_intent,meals_per_week_sub,max_budget_aed,nutrition_tracking_importance,customization_level,spice_level,pause_likelihood,fav_add_ons,eco_pack_score,distance_km,diet_change_freq,nps_intent
2,2,2,4,3,3,7,None,3,79.5,4,1,5,1382.0,1,2,3,5,Soup,5,2,0,4
5,2,2,3,1,1,1,None,3,79.8,4,2,3,1076.0,3,2,4,5,Protein shake,4,4,0,5
3,1,4,4,1,2,5,Dairy,4,77.0,3,3,4,1406.0,5,2,3,2,"Protein shake,Dessert pot,Side salad",4,3,2,6
2,2,2,2,3,1,1,"Dairy,Shellfish",5,71.1,3,2,6,1370.0,3,2,3,5,Side salad,4,1,2,5
1,2,2,3,2,7,5,Shellfish,5,96.4,3,3,4,1380.0,4,3,3,4,Soup,5,3,2,10
1,2,5,1,4,1,4,None,2,36.7,3,3,4,483.0,4,2,3,4,Soup,1,3,0,5
1,2,2,2,2,3,5,"Gluten,Dairy,Shellfish",10,61.8,2,3,10,2471.0,4,2,2,4,None,3,2,1,10
4,1,1,1,3,4,2,None,2,74.6,3,4,4,968.0,5,3,3,3,None,5,1,0,6
3,2,2,3,2,6,1,Gluten,3,100.6,2,3,5,2113.0,4,3,5,2,None,4,2,1,3
3,1,2,3,4,2,1,None,5,87.9,4,1,7,2519.0,3,1,2,5,None,5,3,2,7
1,2,4,3,4,1,1,Dairy,5,76.4,1,2,6,1745.0,3,2,1,3,"Protein shake,Dessert pot,Side salad,Soup",4,2,0,2
5,1,4,3,1,1,2,Soy,5,62.6,3,3,5,1233.0,4,3,3,4,None,5,3,0,4
4,1,5,1,3,3,2,Nuts,10,58.9,3,4,12,3000.0,5,3,3,2,None,4,3,0,6
1,1,2,1,3,4,3,"Nuts,Soy",5,54.0,3,1,5,936.0,3,1,2,5,None,1,2,2,4
1,2,2,2,1,3,5,Nuts,7,55.2,4,2,9,2171.0,2,2,3,4,"Protein shake,Dessert pot,Soup",4,2,0,2
1,1,3,1,3,3,6,None,5,72.4,3,3,7,2145.0,4,2,3,3,None,4,1,0,7
2,2,1,1,1,1,2,None,7,56.1,2,3,6,1435.0,3,3,4,2,Side salad,5,2,0,0
2,1,2,4,3,1,1,Dairy,5,97.8,3,4,4,1468.0,5,3,3,3,Dessert pot,2,1,0,3
2,1,2,1,1,1,5,None,4,46.0,4,1,4,653.0,1,2,5,4,"Protein shake,Soup",4,1,0,0
2,2,1,2,1,1,2,None,3,67.7,3,3,5,1436.0,4,2,4,2,Dessert pot,3,2,2,4
3,1,2,3,2,4,4,None,6,99.2,3,3,6,2774.0,3,3,3,2,None,4,3,1,0
1,1,4,5,2,4,5,None,3,95.9,3,3,5,2283.0,4,3,3,4,Side salad,2,1,1,4
2,2,4,3,3,3,3,"Dairy,Soy",3,76.3,3,2,3,909.0,4,1,4,4,"Protein shake,Soup",5,3,0,3
2,1,1,1,4,0,6,None,7,62.2,3,4,7,1690.0,5,3,4,2,None,5,2,0,10
2,1,1,1,2,3,7,None,8,49.8,2,2,9,1684.0,4,1,3,3,None,4,2,0,3
3,1,2,3,1,2,6,None,5,86.6,3,2,6,2336.0,3,2,2,4,Protein shake,2,2,2,0
1,2,4,3,3,4,5,"Gluten,Soy",5,92.9,3,1,5,1676.0,2,2,3,5,"Protein shake,Soup",4,2,0,2
2,2,1,1,2,3,5,Shellfish,4,65.1,4,2,3,785.0,4,1,4,5,Dessert pot,3,4,0,5
2,2,3,5,2,2,1,None,5,91.2,4,2,4,1369.0,4,1,3,3,Protein shake,1,1,0,1
1,2,1,1,1,3,5,None,4,57.5,1,2,6,1587.0,3,2,5,3,Protein shake,5,1,0,9
3,1,2,3,2,6,1,Dairy,3,87.6,3,2,4,1280.0,3,3,4,3,"Dessert pot,Soup",2,3,0,7
1,1,2,3,1,2,4,Shellfish,4,91.8,3,1,4,1578.0,2,2,3,4,None,5,1,1,0
1,2,3,2,3,2,1,Soy,3,87.6,3,2,2,726.0,3,3,2,4,Protein shake,4,1,3,8
4,1,2,4,2,3,3,"Dairy,Soy",7,81.9,1,4,9,2746.0,5,2,2,2,None,3,3,2,10
5,1,2,3,3,2,1,None,10,95.4,2,3,12,3000.0,4,3,3,3,"Dessert pot,Soup",3,1,0,4
4,1,2,4,2,6,4,"Gluten,Soy",5,100.9,3,4,5,2263.0,5,3,2,1,Soup,5,3,2,8
2,1,3,1,1,1,2,"Shellfish,Soy",6,72.4,3,2,8,2327.0,4,1,1,5,None,4,2,0,0
1,4,4,4,3,0,1,Nuts,4,97.9,1,3,5,2045.0,4,3,2,3,Protein shake,4,2,2,6
3,1,1,2,2,9,5,None,4,58.9,3,2,5,1396.0,3,2,3,3,"Protein shake,Soup",5,1,1,5
2,2,4,2,1,2,5,Soy,7,71.3,2,3,6,1641.0,4,2,4,2,None,1,2,2,9
1,1,2,2,3,5,4,None,7,48.7,3,3,7,1535.0,4,3,3,2,"Dessert pot,Side salad",4,2,1,6
2,3,1,1,2,4,5,None,6,63.7,3,2,7,1883.0,3,1,3,4,"Protein shake,Dessert pot",5,2,0,3
1,1,2,5,3,3,4,None,2,96.7,3,2,1,401.0,2,3,3,3,None,5,2,0,6
4,1,2,3,2,2,6,None,4,45.4,3,2,6,895.0,3,2,3,5,Dessert pot,5,3,0,5
2,2,3,2,3,3,3,None,8,59.7,1,3,8,2226.0,3,3,4,3,Protein shake,4,3,1,6
3,2,3,1,1,4,3,"Gluten,Nuts",9,97.5,2,3,9,3000.0,4,2,3,3,None,2,2,0,6
2,1,1,1,2,3,5,None,11,50.5,3,3,13,2598.0,4,2,3,2,"Protein shake,Dessert pot",4,3,0,5
2,1,2,3,4,0,1,None,4,69.1,4,3,5,1521.0,4,2,5,3,"Dessert pot,Side salad,Soup",4,4,2,0
2,1,4,5,3,2,1,None,5,114.5,3,3,7,3000.0,4,3,2,2,Side salad,5,3,0,7
1,1,5,2,1,3,4,None,6,62.6,4,3,8,1606.0,4,3,4,2,"Protein shake,Side salad",4,3,0,2
5,1,2,4,1,2,1,Nuts,3,85.2,4,2,2,804.0,3,2,3,3,Protein shake,5,1,1,0
3,2,5,2,1,1,2,None,2,78.1,4,3,2,505.0,4,2,3,3,Protein shake,4,2,0,6
4,1,2,1,3,4,1,None,10,60.3,4,2,12,2420.0,4,1,1,3,None,3,2,3,3
4,1,2,3,3,4,5,None,7,80.4,3,3,6,1717.0,4,3,4,4,Protein shake,5,3,3,4
2,2,4,3,3,4,6,Nuts,5,69.9,4,3,7,2035.0,4,3,2,2,Protein shake,4,4,3,9
4,3,2,5,2,4,1,None,5,111.4,3,2,5,2648.0,4,1,3,3,"Dessert pot,Soup",4,1,3,10
1,2,2,4,3,3,1,None,3,97.2,3,3,5,2273.0,4,2,4,3,None,5,2,3,1
1,1,2,2,2,6,1,Soy,2,60.3,4,1,2,512.0,1,3,3,4,Dessert pot,5,3,0,2
1,1,4,2,1,0,4,Nuts,3,70.9,1,3,3,933.0,5,2,3,3,Protein shake,5,2,1,6
2,2,4,2,2,5,4,Dairy,6,79.9,4,3,5,1733.0,4,3,3,3,Soup,4,2,2,8
2,1,2,4,4,2,2,None,3,83.1,3,2,5,1786.0,4,1,4,4,None,3,3,1,5
2,1,2,4,3,3,1,"Dairy,Soy",7,92.1,1,3,9,3000.0,3,3,3,4,Soup,3,3,0,8
4,2,2,4,2,3,4,None,1,68.0,3,2,3,764.0,4,1,3,5,"Protein shake,Side salad,Soup",5,3,0,5
2,2,2,2,3,2,1,None,8,79.4,3,2,9,2540.0,2,2,3,5,None,4,4,3,10
2,2,2,3,4,1,4,Shellfish,8,72.6,3,2,8,2182.0,3,2,2,5,None,4,2,3,9
